,stop_id,stop_lat,stop_lon,Number of Stops,City,State
445,1693.0,41.461686,-81.736618,1,,
5188,14209.0,41.404178,-81.46762,2,,
3850,9250.0,41.389784999999996,-81.469126,2,,
4379,10658.0,41.39849,-81.468961,2,,
1852,5055.0,41.449909000000005,-81.535955,2,,
4830,11851.0,41.44993,-81.53218299999999,2,,
4831,11852.0,41.450005,-81.532798,2,,
1847,5044.0,41.450934000000004,-81.51714100000001,2,,
4357,10587.0,41.44981,-81.535957,2,,
5500,14665.0,41.45115,-81.510572,2,,
5499,14664.0,41.451190999999994,-81.52325400000001,2,,
5498,14663.0,41.450737,-81.529504,2,,
5481,14646.0,41.451007000000004,-81.52900600000001,2,,
5480,14645.0,41.451298,-81.523246,2,,
5478,14643.0,41.403664,-81.467513,2,,
4320,10461.0,41.467737,-81.91839499999999,2,,
5187,14205.0,41.398745,-81.46876,2,,
5186,14204.0,41.389216,-81.468997,2,,
1848,5048.0,41.451067,-81.516826,2,,
4800,11742.0,41.358167,-81.523064,3,,
3667,8701.0,41.481590999999995,-81.89601,3,,
3665,8699.0,41.479558000000004,-81.884008,3,,
3664,8698.0,41.484533,-81.909966,3,,
3663,8694.0,41.484919,-81.920305,3,,
3661,8692.0,41.484907,-81.916521,3,,
2685,6656.0,41.273357,-81.837168,3,,
2686,6657.0,41.272977000000004,-81.837595,3,,
560,2053.0,41.457602,-81.5741,3,,
559,2052.0,41.457528,-81.57324799999999,3,,
558,2050.0,41.457578999999996,-81.5782,3,,
3669,8703.0,41.484833,-81.912501,3,,
557,2049.0,41.457484,-81.57888299999999,3,,
555,2047.0,41.457547999999996,-81.583101,3,,
554,2046.0,41.457438,-81.583929,3,,
553,2045.0,41.457511,-81.587164,3,,
552,2044.0,41.457448,-81.587343,3,,
551,2043.0,41.45748,-81.590767,3,,
550,2042.0,41.457415000000005,-81.590784,3,,
3659,8690.0,41.48229,-81.901309,3,,
542,2003.0,41.603407000000004,-81.521348,3,,
541,2000.0,41.606186,-81.523933,3,,
540,1997.0,41.606010999999995,-81.52395600000001,3,,
556,2048.0,41.457461,-81.58145999999999,3,,
539,1994.0,41.595731,-81.514451,3,,
584,2132.0,41.497668,-81.9596,3,,
588,2138.0,41.486393,-81.959953,3,,
2576,6481.0,41.48217,-81.93683100000001,3,,
2579,6484.0,41.48216,-81.924146,3,,
4535,11083.0,41.491265000000006,-81.94215200000001,3,,
4536,11084.0,41.491806,-81.944295,3,,
4537,11085.0,41.49649,-81.956888,3,,
4538,11086.0,41.497757,-81.958832,3,,
