service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2008H-hh2008a1-Weekday-40,1,1,1,1,1,0,0,20200817,20200821
2008H-hh2008a1-Weekday-41,1,1,1,1,1,0,0,20200824,20201211
2008H-hh2008a6-Saturday-40,0,0,0,0,0,1,0,20200822,20201212
2008H-hh2008a7-Sunday-40,0,0,0,0,0,0,1,20200823,20201206
2008H-hh2008a7-Sunday-42,0,0,0,0,0,0,1,20200907,20200907
2008R-hr2008a1-Weekday-20,1,1,1,1,1,0,0,20200824,20201211
2008R-hr2008a6-Saturday-20,0,0,0,0,0,1,0,20200822,20201212
2008R-hr2008a6-Saturday-23,0,0,0,0,0,1,0,20200919,20200919
2008R-hr2008a7-Sunday-20,0,0,0,0,0,0,1,20200823,20201206
2008R-hr2008a7-Sunday-22,0,0,0,0,0,0,1,20200907,20200907
2008R-hr2008a7-Sunday-23,0,0,0,0,0,0,1,20200920,20200920
2008T-ht2008a1-Weekday-90,1,1,1,1,1,0,0,20200817,20200821
2008T-ht2008a1-Weekday-91,1,1,1,1,1,0,0,20200824,20201211
2008T-ht2008a6-Saturday-90,0,0,0,0,0,1,0,20200822,20201212
2008T-ht2008a6-Saturday-91,0,0,0,0,0,1,0,20200919,20200919
2008T-ht2008a7-Sunday-90,0,0,0,0,0,0,1,20200823,20201206
2008T-ht2008a7-Sunday-91,0,0,0,0,0,0,1,20200920,20200920
2008T-ht2008a7-Sunday-92,0,0,0,0,0,0,1,20200907,20200907
