Year,Ridership,Yearlychange
1976,115292977,0.0
1977,121621862,5.5
1978,122864475,1.0
1979,125890860,2.5
1980,129691743,3.0
1981,120865879,-6.8
1982,110622417,-8.5
1983,89083949,-19.5
1984,89341174,0.3
1985,86156907,-3.6
1986,80688287,-6.3
1987,78035640,-3.3
1988,75206868,-3.6
1989,68516771,-8.9
1990,72869669,6.4
1991,67906688,-6.8
1992,64320599,-5.3
1993,60085236,-6.6
1994,60289244,0.3
1995,58266246,-3.4
1996,58657764,0.7
1997,60901337,3.8
1998,60557584,-0.6
1999,59303747,-2.1
2000,59191175,-0.2
2001,57752620,-2.4
2002,52706142,-8.7
2003,53515066,1.5
2004,55498840,3.7
2005,57097400,2.9
2006,57246000,0.3
2007,57322600,0.1
2008,57977574,1.1
2009,49870000,-14.0
2010,44680000,-10.4
2011,46278896,3.6
2012,48264404,4.3
2013,49236100,2.0
2014,49271617,0.1
2015,46993200,-4.6
2016,43759100,-6.9
2017,39601492,-9.5
2018,37872169,-4.4
2019,36470899,-3.7
