route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
41,2008H-hh2008a1-Weekday-40,16741667,"41 Glenwillow",1,2248740,410150
41,2008H-hh2008a1-Weekday-40,16741668,"41 Stokes Wndrmr Sta",0,2248721,410149
41,2008H-hh2008a1-Weekday-40,16741669,"41 Glenwillow",1,2248721,410150
41,2008H-hh2008a1-Weekday-40,16741670,"41 Stokes Wndrmr Sta",0,2248757,410149
41,2008H-hh2008a1-Weekday-40,16741671,"41 Stokes Wndrmr Sta",0,2248745,410149
41,2008H-hh2008a1-Weekday-40,16741672,"41 Glenwillow",1,2248771,410150
41,2008H-hh2008a1-Weekday-40,16741673,"41 Stokes Wndrmr Sta",0,2248740,410148
41,2008H-hh2008a1-Weekday-40,16741674,"41 Glenwillow",1,2248745,410150
41,2008H-hh2008a1-Weekday-40,16741675,"41F Glenwillow",1,2248787,410147
41,2008H-hh2008a1-Weekday-40,16741676,"41 Glenwillow",1,2248795,410150
41,2008H-hh2008a1-Weekday-40,16741677,"41 Stokes Wndrmr Sta",0,2248721,410148
41,2008H-hh2008a1-Weekday-40,16741678,"41 Glenwillow",1,2248779,410150
41,2008H-hh2008a1-Weekday-40,16741679,"41 Stokes Wndrmr Sta",0,2248788,410148
41,2008H-hh2008a1-Weekday-40,16741680,"41F Glenwillow",1,2248757,410147
41,2008H-hh2008a1-Weekday-40,16741681,"41 Glenwillow",1,2248740,410150
41,2008H-hh2008a1-Weekday-40,16741682,"41 Stokes Wndrmr Sta",0,2248787,410148
41,2008H-hh2008a1-Weekday-40,16741683,"41 Stokes Wndrmr Sta",0,2248795,410148
41,2008H-hh2008a1-Weekday-40,16741684,"41 Glenwillow",1,2248721,410150
41,2008H-hh2008a1-Weekday-40,16741685,"41 Stokes Wndrmr Sta",0,2248745,410148
41,2008H-hh2008a1-Weekday-40,16741686,"41 Glenwillow",1,2248842,410150
41,2008H-hh2008a1-Weekday-40,16741687,"41 Stokes Wndrmr Sta",0,2248779,410148
41,2008H-hh2008a1-Weekday-40,16741688,"41 Glenwillow",1,2248787,410150
41,2008H-hh2008a1-Weekday-40,16741689,"41 Stokes Wndrmr Sta",0,2248740,410148
41,2008H-hh2008a1-Weekday-40,16741690,"41 Glenwillow",1,2248795,410150
41,2008H-hh2008a1-Weekday-40,16741691,"41 Stokes Wndrmr Sta",0,2248721,410148
41,2008H-hh2008a1-Weekday-40,16741692,"41 Glenwillow",1,2248745,410150
41,2008H-hh2008a1-Weekday-40,16741693,"41 Stokes Wndrmr Sta",0,2248842,410148
41,2008H-hh2008a1-Weekday-40,16741694,"41 Glenwillow",1,2248779,410150
41,2008H-hh2008a1-Weekday-40,16741695,"41 Stokes Wndrmr Sta",0,2248787,410148
41,2008H-hh2008a1-Weekday-40,16741696,"41 Glenwillow",1,2248720,410150
41,2008H-hh2008a1-Weekday-40,16741697,"41 Stokes Wndrmr Sta",0,2248795,410148
41,2008H-hh2008a1-Weekday-40,16741698,"41 Glenwillow",1,2248721,410150
41,2008H-hh2008a1-Weekday-40,16741699,"41 Stokes Wndrmr Sta",0,2248745,410148
41,2008H-hh2008a1-Weekday-40,16741700,"41 Glenwillow",1,2248842,410150
41,2008H-hh2008a1-Weekday-40,16741701,"41 Stokes Wndrmr Sta",0,2248779,410148
41,2008H-hh2008a1-Weekday-40,16741702,"41 Glenwillow",1,2248787,410150
41,2008H-hh2008a1-Weekday-40,16741703,"41 Stokes Wndrmr Sta",0,2248720,410148
41,2008H-hh2008a1-Weekday-40,16741704,"41 Glenwillow",1,2248795,410150
41,2008H-hh2008a1-Weekday-40,16741705,"41 Stokes Wndrmr Sta",0,2248721,410148
41,2008H-hh2008a1-Weekday-40,16741706,"41 Glenwillow",1,2248745,410150
41,2008H-hh2008a1-Weekday-40,16741707,"41 Stokes Wndrmr Sta",0,2248842,410148
41,2008H-hh2008a1-Weekday-40,16741708,"41 Glenwillow",1,2248806,410150
41,2008H-hh2008a1-Weekday-40,16741709,"41 Glenwillow",1,2248741,410150
41,2008H-hh2008a1-Weekday-40,16741710,"41 Stokes Wndrmr Sta",0,2248787,410148
41,2008H-hh2008a1-Weekday-40,16741711,"41 Glenwillow",1,2248720,410150
41,2008H-hh2008a1-Weekday-40,16741712,"41 Glenwillow",1,2248778,410150
41,2008H-hh2008a1-Weekday-40,16741713,"41 Stokes Wndrmr Sta",0,2248795,410148
41,2008H-hh2008a1-Weekday-40,16741714,"41 Glenwillow",1,2248721,410150
41,2008H-hh2008a1-Weekday-40,16741715,"41 Stokes Wndrmr Sta",0,2248745,410148
41,2008H-hh2008a1-Weekday-40,16741716,"41 Glenwillow",1,2248842,410150
41,2008H-hh2008a1-Weekday-40,16741717,"41 Stokes Wndrmr Sta",0,2248806,410148
41,2008H-hh2008a1-Weekday-40,16741718,"41 Glenwillow",1,2248787,410150
41,2008H-hh2008a1-Weekday-40,16741719,"41 Stokes Wndrmr Sta",0,2248741,410148
41,2008H-hh2008a1-Weekday-40,16741720,"41F Stokes Windermere Sta",0,2248720,410145
